"","N_B_RNA3","N_B_RNA5","M_W_RNA6","N_B_RNA10","N_B_RNA11","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17"
"ENSG00000054523.17",976,4344,5452,3625,5633,5864,3093,4367,4103
"ENSG00000264881.1",0,0,0,0,0,0,1,0,0
"ENSG00000199562.1",2,12,16,12,11,34,14,11,10
"ENSG00000264501.2",0,0,0,0,0,0,0,0,0
"ENSG00000284735.1",0,0,0,0,2,0,1,0,0
"ENSG00000284642.1",0,5,12,3,20,40,23,17,24
"ENSG00000142657.20",285,1615,1951,1567,2188,1969,852,2005,1744
"ENSG00000271989.1",0,0,0,0,0,0,0,2,1
"ENSG00000251503.8",0,0,1,0,0,0,0,0,0
"ENSG00000175279.21",0,15,15,7,12,40,12,8,20
"ENSG00000241563.3",0,3,1,0,5,0,5,1,0
"ENSG00000160049.11",425,1489,1396,1185,1871,1767,1056,1554,1398
"ENSG00000203469.2",0,0,0,0,0,0,0,2,0
"ENSG00000142655.12",120,543,362,361,402,187,344,174,350
"ENSG00000243267.3",4,2,1,5,1,0,10,2,7
"ENSG00000130940.14",762,2153,2251,2151,3090,1886,2780,1220,1774
"ENSG00000272078.1",0,6,3,4,3,0,12,0,0
"ENSG00000225158.2",0,0,0,0,0,0,0,0,0
"ENSG00000175262.14",0,1,2,0,2,0,0,0,0
"ENSG00000215785.2",0,0,1,2,1,6,4,0,0
"ENSG00000120948.17",253,1164,1406,1077,1482,1226,773,1062,1266
"ENSG00000277726.4",0,0,0,0,0,0,0,0,0
"ENSG00000009724.16",0,0,0,1,0,0,3,0,1
"ENSG00000271895.2",3,28,16,24,27,12,20,17,28
"ENSG00000116649.9",84,200,406,154,293,200,182,306,166
"ENSG00000171824.13",575,1371,1279,1216,1299,1230,984,1289,1286
"ENSG00000226849.1",0,14,1,9,19,0,9,6,3
"ENSG00000230337.1",0,0,3,1,1,21,1,2,4
"ENSG00000198793.12",950,3278,13708,2703,8999,5482,2401,3637,3284
"ENSG00000225602.5",0,0,0,0,0,0,0,0,2
"ENSG00000253086.1",0,0,0,0,0,0,0,0,0
"ENSG00000171819.4",0,2,10,10,25,59,44,8,19
"ENSG00000207451.1",0,0,0,0,0,0,0,0,0
"ENSG00000238173.1",1,1,0,0,0,0,1,0,0
"ENSG00000120942.13",160,469,730,353,583,308,245,638,436
"ENSG00000238199.1",0,0,0,0,0,0,0,0,0
"ENSG00000284646.1",8,6,3,38,34,5,24,3,16
"ENSG00000224338.2",0,0,0,0,0,0,0,0,0
"ENSG00000204624.7",19,9,26,26,15,0,15,7,26
"ENSG00000285833.1",0,0,0,0,0,0,0,0,0
"ENSG00000235643.1",0,0,0,0,0,13,0,0,0
"ENSG00000284708.1",0,2,0,0,0,0,1,0,0
"ENSG00000116661.10",23,69,20,49,58,5,60,15,91
"ENSG00000132879.13",127,308,176,254,285,48,243,168,280
"ENSG00000116663.10",76,176,181,133,179,35,128,97,160
"ENSG00000116670.14",112,158,500,192,212,119,177,218,175
"ENSG00000162490.6",0,1,7,11,5,0,12,6,3
"ENSG00000177674.15",191,1689,1575,1117,1501,283,890,537,955
"ENSG00000215910.7",0,5,3,4,3,0,0,0,0
"ENSG00000177553.6",0,0,0,0,0,0,1,0,0
"ENSG00000177000.12",345,921,3106,1004,1582,747,1112,810,1304
"ENSG00000011021.22",209,613,469,639,983,217,766,294,576
"ENSG00000276470.1",0,0,0,0,0,0,0,0,0
"ENSG00000278852.1",0,0,0,0,0,0,0,0,0
"ENSG00000175206.10",0,0,3,0,1,0,0,0,0
"ENSG00000275915.1",0,0,0,0,0,0,0,0,0
"ENSG00000120937.8",0,0,0,0,0,0,0,0,0
"ENSG00000224904.1",0,0,0,0,0,0,0,0,0
"ENSG00000285646.1",0,0,29,20,16,54,7,5,12
"ENSG00000199347.1",0,0,0,0,0,0,0,0,0
"ENSG00000201801.1",0,1,1,1,2,13,0,2,1
"ENSG00000116685.15",307,1042,1029,712,989,410,589,592,789
"ENSG00000083444.16",369,2088,2103,1271,2873,799,1196,1298,1483
"ENSG00000116688.16",863,2935,2926,2202,2904,1579,1831,1795,2663
"ENSG00000270914.1",0,0,0,0,0,0,0,0,0
"ENSG00000116691.10",107,138,265,149,169,22,138,127,101
"ENSG00000202461.1",0,0,0,0,0,0,0,0,0
"ENSG00000276869.1",0,0,0,0,0,0,0,0,0
"ENSG00000243539.3",0,0,0,0,0,0,0,0,0
"ENSG00000120949.14",10,1,1,0,0,0,3,1,2
"ENSG00000201135.1",0,0,0,0,0,0,0,0,0
"ENSG00000227875.2",0,0,0,0,0,0,0,0,0
"ENSG00000285604.1",10,0,0,0,0,0,0,0,0
"ENSG00000283789.1",0,0,0,0,0,0,0,0,0
"ENSG00000028137.18",269,285,182,226,187,45,257,142,180
"ENSG00000263676.1",0,0,0,3,0,0,1,0,0
"ENSG00000225196.2",0,0,0,0,0,0,0,0,0
"ENSG00000252969.1",0,0,0,0,0,0,0,0,0
"ENSG00000048707.15",2832,7360,10142,7723,9502,8038,5588,6919,10715
"ENSG00000239149.1",0,3,9,8,8,0,3,4,14
"ENSG00000229484.1",0,2,0,0,1,0,3,0,0
"ENSG00000162496.8",875,2847,3366,3708,3359,2010,2103,3397,4413
"ENSG00000221340.1",0,0,4,10,5,0,1,3,10
"ENSG00000276830.1",0,0,2,6,3,0,3,1,3
"ENSG00000272482.1",25,37,6,58,45,17,26,46,113
"ENSG00000204518.2",0,0,0,0,7,0,1,3,0
"ENSG00000226166.2",0,0,0,0,0,0,0,0,0
"ENSG00000188984.11",0,0,0,0,0,0,0,0,0
"ENSG00000157330.9",0,0,0,0,1,0,1,0,0
"ENSG00000116726.4",0,0,0,0,0,0,0,0,0
"ENSG00000116721.9",0,0,0,0,0,0,0,0,0
"ENSG00000228338.1",0,0,0,0,0,0,0,0,0
"ENSG00000239810.3",0,0,0,0,0,0,0,0,0
"ENSG00000231103.2",0,0,0,0,0,0,0,0,0
"ENSG00000179172.9",4,1,0,0,0,0,0,3,2
