"","N_B_RNA3","N_B_RNA5","N_W_RNA7","N_B_RNA10","N_B_RNA11","N_W_RNA13","N_W_RNA15","N_W_RNA18"
"ENSG00000160049.11",425,1489,1741,1185,1871,1218,1668,1561
"ENSG00000203469.2",0,0,0,0,0,0,0,0
"ENSG00000142655.12",120,543,392,361,402,320,412,342
"ENSG00000243267.3",4,2,0,5,1,6,2,1
"ENSG00000130940.14",762,2153,2103,2151,3090,3473,2709,1730
"ENSG00000272078.1",0,6,1,4,3,7,1,0
"ENSG00000225158.2",0,0,0,0,0,0,0,0
"ENSG00000175262.14",0,1,0,0,2,1,0,5
"ENSG00000215785.2",0,0,0,2,1,5,5,0
"ENSG00000120948.17",253,1164,1451,1077,1482,1154,1621,1468
"ENSG00000277726.4",0,0,0,0,0,2,0,0
"ENSG00000009724.16",0,0,0,1,0,0,0,0
"ENSG00000271895.2",3,28,28,24,27,23,35,31
"ENSG00000116649.9",84,200,258,154,293,251,233,320
"ENSG00000171824.13",575,1371,1776,1216,1299,1152,1331,1444
"ENSG00000226849.1",0,14,5,9,19,8,17,6
"ENSG00000230337.1",0,0,6,1,1,4,7,1
"ENSG00000198793.12",950,3278,5415,2703,8999,4240,6149,4689
"ENSG00000225602.5",0,0,0,0,0,0,0,0
"ENSG00000253086.1",0,0,0,0,0,0,0,0
"ENSG00000171819.4",0,2,212,10,25,5,32,92
"ENSG00000207451.1",0,0,0,0,0,0,0,0
"ENSG00000238173.1",1,1,1,0,0,0,0,0
"ENSG00000120942.13",160,469,822,353,583,425,698,515
"ENSG00000238199.1",0,0,0,0,0,0,0,0
"ENSG00000284646.1",8,6,5,38,34,26,11,11
"ENSG00000224338.2",0,0,0,0,0,0,0,0
"ENSG00000204624.7",19,9,35,26,15,28,26,12
"ENSG00000285833.1",0,0,0,0,0,0,0,0
"ENSG00000235643.1",0,0,0,0,0,0,0,0
"ENSG00000284708.1",0,2,0,0,0,0,0,0
"ENSG00000116661.10",23,69,125,49,58,34,64,106
"ENSG00000132879.13",127,308,282,254,285,386,409,342
"ENSG00000116663.10",76,176,239,133,179,94,175,122
"ENSG00000116670.14",112,158,375,192,212,190,249,286
"ENSG00000162490.6",0,1,5,11,5,8,1,10
"ENSG00000177674.15",191,1689,1462,1117,1501,1270,1966,1049
"ENSG00000215910.7",0,5,0,4,3,2,1,4
"ENSG00000177553.6",0,0,0,0,0,0,0,0
"ENSG00000177000.12",345,921,1720,1004,1582,1317,1725,1749
"ENSG00000011021.22",209,613,456,639,983,801,742,639
"ENSG00000276470.1",0,0,0,0,0,0,0,0
"ENSG00000278852.1",0,0,0,0,0,0,0,0
"ENSG00000175206.10",0,0,2,0,1,0,0,0
"ENSG00000275915.1",0,0,0,0,0,0,0,0
"ENSG00000120937.8",0,0,0,0,0,0,0,0
"ENSG00000224904.1",0,0,0,0,0,0,0,0
"ENSG00000285646.1",0,0,15,20,16,2,3,8
"ENSG00000199347.1",0,0,0,0,0,0,0,0
"ENSG00000201801.1",0,1,1,1,2,0,2,1
"ENSG00000116685.15",307,1042,1220,712,989,674,954,758
"ENSG00000083444.16",369,2088,2915,1271,2873,1470,2506,1753
"ENSG00000116688.16",863,2935,3712,2202,2904,2252,3206,2530
"ENSG00000270914.1",0,0,0,0,0,0,0,0
"ENSG00000116691.10",107,138,203,149,169,210,191,165
"ENSG00000202461.1",0,0,0,0,0,0,0,0
"ENSG00000276869.1",0,0,0,0,0,0,0,0
"ENSG00000243539.3",0,0,0,0,0,0,0,0
"ENSG00000120949.14",10,1,2,0,0,1,0,3
"ENSG00000201135.1",0,0,0,0,0,0,0,0
"ENSG00000227875.2",0,0,0,0,0,0,0,0
"ENSG00000285604.1",10,0,0,0,0,0,0,0
"ENSG00000283789.1",0,0,0,0,0,0,0,0
"ENSG00000028137.18",269,285,299,226,187,175,187,320
"ENSG00000263676.1",0,0,0,3,0,0,0,0
"ENSG00000225196.2",0,0,0,0,0,0,0,0
"ENSG00000252969.1",0,0,0,0,0,0,0,0
"ENSG00000048707.15",2832,7360,10774,7723,9502,8082,9088,11076
"ENSG00000239149.1",0,3,9,8,8,14,6,17
"ENSG00000229484.1",0,2,0,0,1,2,0,2
"ENSG00000162496.8",875,2847,3464,3708,3359,2794,3267,3251
"ENSG00000221340.1",0,0,7,10,5,10,2,9
"ENSG00000276830.1",0,0,1,6,3,4,2,4
"ENSG00000272482.1",25,37,40,58,45,34,32,64
"ENSG00000204518.2",0,0,1,0,7,1,0,0
"ENSG00000226166.2",0,0,0,0,0,0,0,0
"ENSG00000188984.11",0,0,0,0,0,0,0,0
"ENSG00000157330.9",0,0,2,0,1,0,0,0
"ENSG00000116726.4",0,0,0,0,0,0,0,0
"ENSG00000116721.9",0,0,0,0,0,0,0,0
"ENSG00000228338.1",0,0,0,0,0,0,0,0
"ENSG00000239810.3",0,0,0,0,0,0,0,0
"ENSG00000231103.2",0,0,0,0,0,0,0,0
"ENSG00000179172.9",4,1,1,0,0,4,0,0
"ENSG00000120952.4",0,0,0,0,0,0,0,0
"ENSG00000243073.3",0,0,0,0,0,0,0,0
"ENSG00000187545.5",0,0,0,0,0,1,0,0
"ENSG00000204510.5",0,0,0,0,0,0,0,0
"ENSG00000207434.1",0,0,0,0,0,0,0,0
"ENSG00000234064.1",0,0,0,0,0,0,0,0
"ENSG00000232423.6",0,0,0,0,0,0,0,0
"ENSG00000274178.2",0,0,0,0,0,0,0,0
"ENSG00000274764.5",0,0,0,0,0,0,0,0
"ENSG00000277058.2",1,0,0,0,0,0,0,0
"ENSG00000229571.7",0,0,0,0,0,0,0,0
"ENSG00000277862.1",0,0,0,0,0,0,0,0
"ENSG00000236179.1",0,0,0,0,0,0,0,0
"ENSG00000275774.2",1,0,0,0,0,0,0,0
"ENSG00000229978.1",0,0,0,0,0,0,0,0
"ENSG00000233336.1",0,0,0,0,0,0,0,0
"ENSG00000280267.4",0,0,0,0,0,0,0,0
"ENSG00000179412.10",0,0,0,0,0,0,0,0
"ENSG00000204505.4",0,0,0,0,0,0,0,0
"ENSG00000279169.2",0,0,0,0,0,0,0,0
"ENSG00000279804.2",0,0,0,0,0,0,0,0
"ENSG00000250894.1",0,0,0,0,0,0,0,0
"ENSG00000270601.4",0,0,0,0,0,0,1,0
"ENSG00000231219.1",0,0,0,0,0,0,0,0
"ENSG00000207511.1",0,0,0,0,0,0,0,0
"ENSG00000182330.10",0,0,0,0,0,0,0,0
"ENSG00000237700.2",0,0,0,0,0,0,0,0
"ENSG00000204501.7",0,0,0,0,0,0,0,0
"ENSG00000228229.2",0,0,0,0,0,0,0,0
"ENSG00000204481.7",0,0,0,0,0,0,0,0
"ENSG00000204480.8",0,0,0,0,0,0,0,0
"ENSG00000204479.4",0,0,0,0,0,0,0,0
"ENSG00000204478.9",0,0,0,0,0,0,0,0
"ENSG00000162494.5",0,0,2,0,0,0,0,2
