"","M_W_RNA6","N_W_RNA7","M_W_RNA12","N_W_RNA13","M_W_RNA14","N_W_RNA15","M_W_RNA16","M_W_RNA17","N_W_RNA18"
"ENSG00000272482.1",6,40,17,34,26,32,46,113,64
"ENSG00000204518.2",0,1,0,1,1,0,3,0,0
"ENSG00000226166.2",0,0,0,0,0,0,0,0,0
"ENSG00000188984.11",0,0,0,0,0,0,0,0,0
"ENSG00000157330.9",0,2,0,0,1,0,0,0,0
"ENSG00000116726.4",0,0,0,0,0,0,0,0,0
"ENSG00000116721.9",0,0,0,0,0,0,0,0,0
"ENSG00000228338.1",0,0,0,0,0,0,0,0,0
"ENSG00000239810.3",0,0,0,0,0,0,0,0,0
"ENSG00000231103.2",0,0,0,0,0,0,0,0,0
