"","M_B_RNA1","M_B_RNA2","M_B_RNA4","M_W_RNA6","M_B_RNA8","M_B_RNA9","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17","M_B_RNA19","M_B_RNA20"
"ENSG00000171608.15",42,129,91,37,58,74,85,173,53,91,28,193
"ENSG00000179840.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233268.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231789.2",13,53,0,23,13,8,23,23,4,21,5,25
"ENSG00000171603.17",4542,4274,3769,12088,10200,2904,7258,5643,5211,7258,7891,8430
"ENSG00000271264.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280113.2",8,0,0,2,10,0,7,2,0,5,1,4
"ENSG00000178585.14",574,871,266,1341,1154,287,286,961,919,1034,580,906
"ENSG00000223989.1",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000285701.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162441.11",337,290,267,1050,1106,171,951,697,979,1038,701,904
"ENSG00000228150.1",0,0,0,7,5,3,8,5,0,4,3,2
"ENSG00000173614.13",112,131,74,271,332,89,235,227,288,305,196,297
"ENSG00000202415.1",2,7,1,0,1,1,5,2,5,5,1,3
"ENSG00000283611.2",0,0,0,0,4,0,0,0,0,0,0,0
"ENSG00000265521.1",0,0,0,0,3,0,8,0,1,1,2,0
"ENSG00000241326.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162444.11",51,18,22,328,279,52,347,136,17,89,123,75
"ENSG00000130939.18",888,759,568,2640,2028,865,2214,1422,2120,2060,1781,1657
"ENSG00000224340.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233623.2",8,11,0,7,5,8,5,19,0,5,19,10
"ENSG00000201746.1",0,0,0,0,0,2,0,1,2,0,0,2
"ENSG00000054523.17",1410,1151,1322,5452,4871,1679,5864,3093,4367,4103,4358,3874
"ENSG00000264881.1",0,0,0,0,0,9,0,1,0,0,0,1
"ENSG00000199562.1",1,9,15,16,10,6,34,14,11,10,17,16
"ENSG00000264501.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284735.1",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000284642.1",0,2,26,12,15,20,40,23,17,24,21,10
"ENSG00000142657.20",682,532,466,1951,1740,202,1969,852,2005,1744,936,1425
"ENSG00000271989.1",0,0,0,0,0,0,0,0,2,1,0,0
"ENSG00000251503.8",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000175279.21",4,4,0,15,13,1,40,12,8,20,17,18
"ENSG00000241563.3",0,0,0,1,5,0,0,5,1,0,10,2
"ENSG00000160049.11",562,443,281,1396,1293,776,1767,1056,1554,1398,929,1395
"ENSG00000203469.2",0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000142655.12",149,283,189,362,248,155,187,344,174,350,245,312
"ENSG00000243267.3",1,1,0,1,4,1,0,10,2,7,4,2
"ENSG00000130940.14",1083,1842,535,2251,2412,1113,1886,2780,1220,1774,2257,2180
"ENSG00000272078.1",0,9,0,3,0,1,0,12,0,0,2,0
"ENSG00000225158.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175262.14",0,6,0,2,0,0,0,0,0,0,2,0
